cas_number,chemical_name,formula,ip_ev,pel_ppm,rel,tlv_ppm,stel_ppm,idlh_ppm,aegl_1,aegl_2,aegl_3,conversion,notes,include
106-97-8,Butane (n-butane),,NA,"800 ppm (1,900 mg/m³)","800 ppm (1,900 mg/m³)","1,000 ppm",,"1,600 ppm [10% LEL]","5,500(1) ppm (AEGL-1)","17,000(2) ppm (AEGL-2)","53,000(3) ppm (AEGL-3)",NA,,
7440-43-9,Cadmium,,NA,0.005 mg/m³,NA - potential carcinogen,0.01 mg/m³ (total) 0.002 mg/m³ (respirable),,Ca 9 mg/m³,0.1 mg/m³ (AEGL-1),0.76 mg/m³ (AEGL-2),4.7 mg/m³ (AEGL-3),NA,,
630-08-0,Carbon Monoxide,,14.01,50 ppm (55 mg/m³),35 ppm (40 mg/m³) (C) 200 ppm,25 ppm,,"1,200 ppm",75 ppm 86 mg/m³ (TLV-TWA x 3),83 ppm 95 mg/m³ (AEGL-2),330 ppm 380 mg/m³ (AEGL-3),1 ppm = 1.15 mg/m³,,
57-74-9,Chlordane,,NA,TWA 0.5 mg/m³ [skin],Ca TWA 0.5 mg/m³ [skin],TWA 0.5 mg/m³,,Ca 100 mg/m³,4.5 mg/m³ (TEEL-2/11),50 mg/m³ (LOC),500 mg/m³ (IDLH 1990),NA,,
7782-50-5,Chlorine,,11.48,(C) 1 ppm (3 mg/m³),(C) 0.5 ppm (1.45 mg/m³) [15-min],0.1 ppm (ST) 0.4 ppm,,10 ppm,0.5 ppm (AEGL-1),2.0 ppm (AEGL-2),20 ppm (AEGL-3),1 ppm = 2.9 mg/m³,,
7440-47-3,Chromium,,NA,1 mg/m³,0.5 mg/m³,0.5 mg/m³,,250 mg/m³,1.5 mg/m³ (TLV-TWA x 3),17 mg/m³ (TEEL-1 x 11),99 mg/m³ (TEEL-2 x 6),NA,,
7440-47-3,Chromium II,,NA,0.5 mg/m³,,,,250 mg/m³,2.2 mg/m³ (MW-adjusted inorganic chromium (III) (7440-47-3) TLV-TWA x 3),24 mg/m³ (TEEL-1 x 11),140 mg/m³ (TEEL-2 x 6),NA,,
7440-47-3,Chromium III,,NA,,,,,25 mg/m³,2.2 mg/m³ (MW-adjusted inorganic chromium (III) (7440-47-3) TLV-TWA x 3),24 mg/m³ (TEEL-1 x 11),140 mg/m³ (TEEL-2 x 6),NA,,
18540-29-9,Chromium VI,,NA,0.005 mg/m³,0.0002 mg/m³,0.0002 mg/m³ (IHL) (ST) 0.005 mg/m³ (IHL),,15 mg/m³,0.29 mg/m³ (MW adjusted soluble chromium (VI) (7440-47-3) TLV-TWA x 3),5 mg/m³ (TEEL-3/6),30 mg/m³ (MW adjusted chromates (1330-82-0) IDLH 1990),NA,,
7738-94-5,Chromic Acid,,NA,0.005 mg/m³ as CrO3 (C) 0.1 mg/m³,Ca 0.0002 mg/m³ (8-hr-TWA),"0.0002 mg/m³ (IHL) (ST) 0.0005 mg/m³(IHL), water soluble (includes chromic acid and chromates)",,15 mg/m³ as CrVI,0.29 mg/m³ (MW adjusted soluble chromium (VI) (7440-47-3) TLV-TWA x 3),5 mg/m³ (TEEL-3/6),30 mg/m³ (MW adjusted chromates (1330-82-0) IDLH 1990),NA,,
7440-50-8,Copper,,NA,0.1 mg/m³ (fume) 1 mg/m³ (dust),0.1 mg/m³ (fume) 1 mg/m³ (dust),"0.2 mg/m³ (fume) 1 mg/m³ (dust, mist)",,100 mg/m³,3 mg/m³ (TLV-TWA x 3),33 mg/m³ (TEEL-1 x11),200 mg/m³ (TEEL-2 x 6),NA,,
143-33-9,Cyanide (Sodium Cyanide),,NA,5 mg/m³,(C) 5 mg/m³,NA,,25 mg/m³ as CN,4 mg/m³ (AEGL-1),14 mg/m³ (AEGL-2),30 mg/m³ (AEGL-3),1 ppm = 2.00 mg/m³,,
110-82-7,Cyclohexane,,9.86,"300 ppm (1,050 mg/m³)",300 ppm,100 ppm,,"1,300 ppm [10%LEL]",300 ppm (TLV-TWA x 3),"1,700(1) ppm (TEEL-3/6)","10,000(2) ppm (IDLH 1990)",1 ppm = 3.44 mg/m³,,
68334-30-5,Diesel Fuel,,NA,NA,NA,100 mg/m³ [skin],,NA,300 mg/m³ (TLV-TWA x 3),"3,300 mg/m³ (TEEL-1 x 11)","20,000 mg/m³ (TEEL-2 x 6)",1 ppm = 10.22 mg/m³,,
64-17-5,Ethanol (ethyl alcohol),,10.47,"1,000 ppm","1,000 ppm","1,000 ppm",,"3,300 ppm","1,800 ppm (ERPG-1)","3,300(1) ppm (ERPG-2)","15,000(1) ppm (IDLH 1990)",1 ppm = 1.89 mg/m³,,
60-29-7,Ether (diethyl ether),,9.51,400 ppm,400 ppm (ST) 500 ppm,400 ppm (ST) 500 ppm,,"1,900 ppm",500 ppm (TLV-STEL),"3,200(1) ppm (TEEL-3/6)","19,000(3) ppm (IDLH 1990)",1 ppm = 3.03 mg/m³,,
100-41-4,Ethylbenzene,,8.77,100 ppm (435 mg/m³),100 ppm (ST) 125 ppm,20 ppm,,800 ppm [10%LEL],33 ppm 140 mg/m³ (AEGL-1),"1,100(1) ppm 4,800 mg/m³ (AEGL-2)","1,800(1) ppm 7,800 mg/m³ (AEGL-3)",1 ppm = 4.34 mg/m³,,
50-00-0,Formaldehyde,,10.87,0.75 ppm (ST) 2 ppm,Ca 0.016 pm (C) 0.1 ppm (15 min),(C) 0.3 ppm,,20 ppm,0.9 ppm (AEGL-1),14 ppm (AEGL-2),56 ppm (AEGL-3),1 ppm = 1.23 mg/m³,,
76-13-1,Freon 113,,11.99,"1,000 ppm (ST) 1,250 ppm","1,000 ppm (ST) 1,250 ppm","1,000 ppm (ST) 1,250 ppm",,"2,000 ppm","1,250 ppm (TLV-STEL)","3,900 ppm (mouse 60-min TCLo)","4,500 ppm (IDLH 1990)",1 ppm = 7.67 mg/m³,,
8006-61-9,Gasoline,,NA,NA,NA,TWA 300 ppm (ST) 500 ppm,,NA,200 ppm 590 mg/m³ (ERPG-1),"1,000 ppm 2,900 mg/m³ (ERPG-2)","4,000(1) ppm 12,000 mg/m³ (ERPG-3)",1 ppm = 3.76 mg/m³ (approx),,
302-01-2,Hydrazine,,8.1,1 ppm 1.3 mg/m³,Ca (C) 0.03 ppm [2-hr] 0.04 mg/m³,0.01 ppm,,50 ppm,0.1 ppm (AEGL-1),13 ppm (AEGL-2),35 ppm (AEGL-3),1 ppm = 1.31 mg/m³,,
10034-85-2,Hydriodic Acid (Hydrogen Iodide),,10.39,NA,NA,NA,,NA,1 ppm (AEGL-1),25 ppm (AEGL-2),120 ppm (AEGL-3),NA,,
10035-10-6,Hydrobromic Acid (Hydrogen Bromide),,11.62,3 ppm (10 mg/m³) - TWA,(C) 3 ppm (10 mg/m³),(C) 2 ppm,,30 ppm,1.0 ppm 3.3 mg/m³ (AEGL-1),40 ppm 130 mg/m³ (AEGL-2),120 ppm 400 mg/m³ (AEGL-3),1 ppm = 3.31 mg/m³ (approx),,
7647-01-0,Hydrochloric Acid (Hydrogen Chloride),,12.74,(C) 5 ppm (7 mg/m³),(C) 5 ppm,(C) 2 ppm,,50 ppm,1.8 ppm 2.7 mg/m³ (AEGL-1),22 ppm 33 mg/m³ (AEGL-2),100 ppm 150 mg/m³ (AEGL-3),1 ppm = 1.49 mg/m³ (approx),,
74-90-8,Hydrocyanic Acid (Hydrogen Cyanide),,13.6,"10 ppm [skin] (11 mg/m³) Note: STEL 4.7 ppm [skin] was previously used, but vacated in 1993.",(ST) 4.7 ppm,(C) 4.7 ppm,,50 ppm,2 ppm 2.2 mg/m³ (AEGL-1),7.1 ppm 7.8 mg/m³ (AEGL-2),15 ppm 17 mg/m³ (AEGL-3),1 ppm = 1.1 mg/m³,,
7664-39-3,Hydrofluoric Acid (Hydrogen Fluoride),,15.98,3 ppm (2.5 mg/m³),3 ppm (2.5 mg/m³),0.5 ppm,,30 ppm,1.0 ppm 0.82 mg/m³ (AEGL-1),24 ppm 20 mg/m³ (AEGL-2),44 ppm 36 mg/m³ (AEGL-3),1 ppm = 0.82 mg/m³,,
1333-74-0,Hydrogen,,15.43,<19.5% O₂ (simple asphyxiant),NA,NA,,NA,65000(3) (simple asphyxiant),230000(3) (simple asphyxiant),400000(3) (simple asphyxiant),NA,,
7722-84-1,Hydrogen Peroxide,,10.54,1 ppm,1 ppm,1 ppm,,75 ppm,10 ppm (ERPG-1),50 ppm (ERPG-2),100 ppm (ERPG-3),1 ppm = 1.39 mg/m³,,
7783-06-4,Hydrogen Sulfide,,10.45,(C) 20 ppm 50 ppm [10-min],(C) 10 ppm [10-min],1 ppm (ST) 5 ppm,,100 ppm,0.51 ppm 0.71 mg/m³ (AEGL-1),27 ppm 38 mg/m³ (AEGL-2),50 ppm 70 mg/m³ (AEGL-3),1 ppm = 1.4 mg/m³,,
7553-56-2,Iodine Crystal,,9.4,(C) 0.1 ppm,(C) 0.1 ppm,(C) 0.1 ppm (ST) 0.1 ppm,,2 ppm,0.1 ppm (ERPG-1),0.5 ppm (ERPG-2),5 ppm (ERPG-3),1 ppm = 10.38 mg/m³,,
